# date, lon, lat, tau, shf, lhf, L, cd, cdn, ct, ctn, cq, cqn, tsrv, tsr, qsr, usr, psim, psit, psiq, u10n, t10n, tv10n, q10n, zo, zot, zoq, uref, tref, qref, iter, dter, dqer, dtwl, qair, qsea, Rl, Rs, Rnl
2.007071000000000000e+07,2.414994000000000085e+02,3.380362000000000222e+01,8.696630365987176661e-03,1.020174578060388448e+01,4.162225452319779606e+01,-3.541294819390227389e+00,1.306499297196802136e-03,9.830008953697084301e-04,1.574455463217391523e-03,1.053755092948763239e-03,1.574455463217391523e-03,1.053755092948763239e-03,-1.262148582675446384e-01,-9.697535888489682010e-02,-1.619879521827393592e-04,8.697198047329879333e-02,1.719848598689523111e+00,2.746084589767085582e+00,2.746084589767085582e+00,2.784365716216402831e+00,1.687573834449091237e+01,2.917819112143022267e+02,9.316166762517579317e-03,2.879157527320298145e-05,6.781051781272457281e-05,6.781051781272457281e-05,2.305545276958456569e+00,1.753582652865640057e+01,1.041878019383161644e-02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.041703139256114526e-02,1.415482951424671190e-02,3.700000000000000000e+02,1.466235399999999913e+02,4.661030437760739886e+01
2.007071100000000000e+07,2.404743299999999806e+02,3.380439000000000505e+01,1.672638324169989366e-02,1.144764323033384734e+01,5.586840229212161546e+01,-8.659524659802793067e+00,1.217827244563130700e-03,1.001602849912701289e-03,1.396837699127901353e-03,1.056827049465461441e-03,1.396837699127901353e-03,1.056827049465461441e-03,-1.073167844825987371e-01,-7.905913016604382282e-02,-1.578098880112214608e-04,1.190110747164457583e-01,1.206004871701741532e+00,2.014312322354463447e+00,2.014312322354463447e+00,3.760327983250713935e+00,1.635757856247272457e+01,2.911152769628708370e+02,8.492332656129772048e-03,3.243085073826856157e-05,6.277499198294825028e-05,6.277499198294825028e-05,3.321441999276400825e+00,1.675128053404375805e+01,9.278200953857430877e-03,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,9.275576974491628671e-03,1.322386212315086566e-02,3.700000000000000000e+02,2.751127999999999929e+02,4.085974941893881152e+01
2.007071200000000000e+07,2.411803899999999885e+02,3.379154000000000480e+01,5.414501314612158583e-02,2.035445916355569196e+01,9.303284407022714220e+01,-3.365566876109211591e+01,1.164574396606936997e-03,1.129476489275758064e-03,1.221916155538832873e-03,1.121670937837010483e-03,1.221916155538832873e-03,1.121670937837010483e-03,-1.052796755915624827e-01,-7.878793913035822549e-02,-1.473962011127954129e-04,2.128450163819600449e-01,8.637884928754386848e-01,1.496650108522568523e+00,1.496650108522568523e+00,6.333205818891459948e+00,1.712471086283846944e+01,2.920569965780176744e+02,9.455555283991121454e-03,6.776568691547984579e-05,6.237916603014367423e-05,6.237916603014367423e-05,5.951900491748197908e+00,1.733361200736118235e+01,9.846366814926345648e-03,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,9.755360330875526009e-03,1.387223645689894883e-02,3.700000000000000000e+02,3.699440600000000359e+02,4.502489468754123436e+01
2.007071300000000000e+07,2.413487899999999797e+02,3.379797700000000304e+01,2.676528129091666416e-02,1.099325685415767673e+01,5.672733239174507958e+01,-1.971917411856203728e+01,1.116251009424557884e-03,1.039298868079285235e-03,1.240190989145219247e-03,1.076646003032833646e-03,1.240190989145219247e-03,1.076646003032833646e-03,-8.365736391118031023e-02,-6.057671334868677815e-02,-1.280027811923607707e-04,1.502789485021311655e-01,1.118309198464174425e+00,1.884326594469600158e+00,1.884326594469600158e+00,4.661482473566557871e+00,1.814166852238321326e+01,2.932590487537509034e+02,1.046392379096730899e-02,4.087174859931605610e-05,6.285565608990548810e-05,6.285565608990548810e-05,4.298246002814186895e+00,1.835306475650361335e+01,1.091061864126803387e-02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.084837518795861259e-02,1.429991200845608275e-02,3.700000000000000000e+02,3.541351000000000226e+02,4.763321317617139528e+01
2.007071400000000000e+07,2.403677500000000009e+02,3.420246999999999815e+01,8.487326448827121894e-02,1.834030833723046072e+01,5.633227635521565446e+01,-8.410138655805268115e+01,1.171541158894756195e-03,1.206555072401444429e-03,1.160957993613454106e-03,1.154048095854792386e-03,1.160957993613454106e-03,1.154048095854792386e-03,-6.968524532754365175e-02,-5.679180061492994369e-02,-7.128113010105168758e-05,2.656621845748072808e-01,5.122018365554645847e-01,9.295543665103690456e-01,9.295543665103690456e-01,7.648085928034498160e+00,1.607913749519951807e+01,2.911625390244306004e+02,1.034598089054484561e-02,9.973331266867091786e-05,5.906049202427663466e-05,5.906049202427663466e-05,7.386816862597690658e+00,1.616475844310855337e+01,1.045344636727208072e-02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.038992370804695149e-02,1.249146076633210999e-02,3.700000000000000000e+02,2.563129299999999944e+02,3.573961274360723905e+01
2.007071500000000000e+07,2.399181499999999971e+02,3.422823999999999955e+01,8.781111099948753218e-02,1.566896735288277220e+01,3.925856148146769442e+01,-1.074216731106128435e+02,1.161459385781472191e-03,1.211715593767744318e-03,1.142417256885676097e-03,1.155315158160466352e-03,1.142417256885676097e-03,1.155315158160466352e-03,-5.638250087997401239e-02,-4.759190326414990124e-02,-4.864399255791549147e-05,2.693501131523639014e-01,4.370908606323511414e-01,8.024058471371722234e-01,8.024058471371722234e-01,7.737754980413342309e+00,1.459582879443979664e+01,2.895564632773413223e+02,9.700089969666992815e-03,1.022118420873263840e-04,5.832757511287973594e-05,5.832757511287973594e-05,7.516017608813495343e+00,1.465622666368193450e+01,9.761823022989552304e-03,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,9.714605473015662518e-03,1.116573650899296312e-02,3.700000000000000000e+02,2.690054600000000278e+02,2.628686304853498257e+01
2.007071600000000000e+07,2.386023399999999981e+02,3.518698499999999996e+01,1.477573897774532852e-01,1.401016302293872862e+00,2.048032863766499645e+01,-1.598470972352693025e+03,1.179879182294765651e-03,1.320223505234225910e-03,1.073424868149915577e-03,1.190402200204765436e-03,1.073424868149915577e-03,1.190402200204765436e-03,-6.715075760114942380e-03,-3.284465587172897844e-03,-1.954966035027969510e-05,3.483284796565456198e-01,4.675036503273477528e-02,9.244839422226353021e-02,9.244839422226353021e-02,9.586609959454397867e+00,1.396351724698416774e+01,2.888401403961973415e+02,9.241911070050460447e-03,1.655693216557595226e-04,4.983996334943294865e-05,4.983996334943294865e-05,9.556337140198142066e+00,1.396391367017338325e+01,9.244270643776844945e-03,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,9.213044180762609836e-03,9.838629202314416733e-03,3.700000000000000000e+02,2.870179400000000101e+02,1.592217288819203702e+01
2.007071700000000000e+07,2.373578200000000322e+02,3.717743699999999762e+01,3.459541413004578458e-02,4.923521492886129280e+00,1.309806754335133760e+01,-7.704171376990136366e+01,1.121995589951881164e-03,1.064022793392756195e-03,1.178414790396987467e-03,1.087939367039399531e-03,1.178414790396987467e-03,1.087939367039399531e-03,-2.840252702719380309e-02,-2.377584300260480663e-02,-2.576177740759648768e-05,1.688400859783408536e-01,3.505298617077339252e-01,6.526640060378257058e-01,6.526640060378257058e-01,5.176062508999636158e+00,1.365692737345989372e+01,2.885345350334469572e+02,9.257418531831420813e-03,4.724941193655860932e-05,6.186871870750606367e-05,6.186871870750606367e-05,5.001444943428432488e+00,1.369496450754985517e+01,9.298632808925221330e-03,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,9.297552912326570787e-03,1.002982665037675282e-02,3.700000000000000000e+02,4.796682400000000257e+01,1.752159337003703143e+01
2.007072100000000000e+07,2.376156600000000196e+02,3.778655599999999737e+01,7.715857453412230949e-02,2.900940572834162978e+01,1.784723879084908731e+02,-3.751248348117662346e+01,1.310144925244157181e-03,1.192156925580930898e-03,1.313590183125359608e-03,1.150202931648991803e-03,1.313590183125359608e-03,1.150202931648991803e-03,-1.377039003266374850e-01,-9.452420604033026641e-02,-2.387868113529654449e-04,2.554582817840421183e-01,5.635000694066556459e-01,1.015036726606178386e+00,1.015036726606178386e+00,7.398651441836135767e+00,1.994364519762689270e+01,2.949617306093689990e+02,9.844394356253382064e-03,9.305300438724811111e-05,6.098364027980839567e-05,6.098364027980839567e-05,6.966014461389954171e+00,2.017955661845428494e+01,1.044035319368686460e-02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.043270909884779808e-02,1.701247775294711592e-02,3.700000000000000000e+02,7.523031999999999471e+02,6.352321026926576764e+01
2.007072200000000000e+07,2.376156600000000196e+02,3.778655599999999737e+01,8.540526170795996463e-02,3.039269325579700975e+01,1.686236513926034206e+02,-4.325009893246081560e+01,1.319911121258418455e-03,1.210493942311936799e-03,1.306773421991869839e-03,1.157065451678350194e-03,1.306773421991869839e-03,1.157065451678350194e-03,-1.326943167113144306e-01,-9.404674118367037372e-02,-2.140792227898906971e-04,2.682912406166084729e-01,5.159231237233472545e-01,9.357912513502313345e-01,9.357912513502313345e-01,7.710959338368245319e+00,1.911297212315184879e+01,2.941050406847557497e+02,9.726476362101251286e-03,1.016210321014002004e-04,5.976222833131679342e-05,5.976222833131679342e-05,7.294889465138827411e+00,1.932941601415745936e+01,1.021916903152187209e-02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,1.021191381127636161e-02,1.616369563628826389e-02,3.700000000000000000e+02,3.738980700000000184e+02,5.874772423396794352e+01
